Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link
data-scientist,Sr. Resource Geologist GC,PT Masmindo Dwi Area,Luwu,https://id.jobstreet.com/id/job/92057504?type=standard&ref=search-standalone&origin=cardTitle#sol=46e74a01e36405963a85b55840b8179280cdbd00
data-scientist,"MYP AI, Coding & Digital Curriculum Specialist (ICT) - BINUS SCHOOL Simprug",Yayasan Bina Nusantara,Jakarta Selatan,https://id.jobstreet.com/id/job/92220581?type=standard&ref=search-standalone&origin=cardTitle#sol=a9bc392cf160e94fd821e0e8b461736e8491493c
data-scientist,Data Analyst Intern,PT Sejahtera Sama Kita,Jakarta Raya,https://id.jobstreet.com/id/job/92155588?type=standard&ref=search-standalone&origin=cardTitle#sol=1d84510dfe941f93c55f731eb1b4c56c63badee6
data-scientist,Digital Business Data Analyst,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,https://id.jobstreet.com/id/job/92178469?type=standard&ref=search-standalone&origin=cardTitle#sol=85a8a624d97ab4f76f0f729eabe45f8f6a36a0c5
data-scientist,Data Analytic (Tableau),PT Lawencon Internasional,Jakarta Selatan,https://id.jobstreet.com/id/job/91627018?type=standard&ref=search-standalone&origin=cardTitle#sol=7cc57bfe18f0a5b81cd1f6d8849a401a324d1d47
data-scientist,DATA ANALYST,PT Bringin Jati Indah,Semarang,https://id.jobstreet.com/id/job/91988557?type=standard&ref=search-standalone&origin=cardTitle#sol=fed5d5e8fbbbdadb7d92cff43b58e80917422f74
data-scientist,Lead Engineer,PT Digdaya Duta Digital,Setiabudi,https://id.jobstreet.com/id/job/91609710?type=standard&ref=search-standalone&origin=cardTitle#sol=3691ed632e7a423d1cb4eefab1a3ff6de236178e
data-scientist,Market Analyst Staff,PT Aion Indomobil Distribution Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92054876?type=standard&ref=search-standalone&origin=cardTitle#sol=55ce108bd6a7c4a879679512830f3f2a17d6625e
data-scientist,INTELLIGENCE AND INVESTIGATION,PT Trans Dana Profitri,Jakarta Selatan,https://id.jobstreet.com/id/job/91923480?type=standard&ref=search-standalone&origin=cardTitle#sol=feb8c3239e505f1c2c2f472fe6bf22509569d00e
data-scientist,AI & Automation Specialist - Corporate Pollux Group,PT Mega Kuningan Pinnacle,Jakarta Selatan,https://id.jobstreet.com/id/job/92164733?type=standard&ref=search-standalone&origin=cardTitle#sol=5d5bf8ede5adc043a434b2f451c50812dca07097
data-scientist,GM of Sales - Diagnostic & Measurement,PT Trust Recruit Indonesia,Tangerang Selatan,https://id.jobstreet.com/id/job/92177636?type=standard&ref=search-standalone&origin=cardTitle#sol=0e7ed217ca99c5d061b60a6b7dc5933ec6caaf57
